date,market,symbol,close,source
1990-01-02,DAX,^GDAXI,1788.890015,Yahoo Finance via yfinance
1990-01-02,FTSE100,^FTSE,2434.100098,Yahoo Finance via yfinance
1990-01-02,HANGSENG,^HSI,2838.100098,Yahoo Finance via yfinance
1990-01-02,NASDAQ,^IXIC,459.2999878,Yahoo Finance via yfinance
1990-01-02,SP500,^GSPC,359.6900024,Yahoo Finance via yfinance
1990-01-02,VIX,^VIX,17.23999977,Yahoo Finance via yfinance
1990-01-03,DAX,^GDAXI,1867.290039,Yahoo Finance via yfinance
1990-01-03,FTSE100,^FTSE,2463.699951,Yahoo Finance via yfinance
1990-01-03,HANGSENG,^HSI,2858.699951,Yahoo Finance via yfinance
1990-01-03,NASDAQ,^IXIC,460.8999939,Yahoo Finance via yfinance
1990-01-03,SP500,^GSPC,358.7600098,Yahoo Finance via yfinance
1990-01-03,VIX,^VIX,18.19000053,Yahoo Finance via yfinance
1990-01-04,DAX,^GDAXI,1830.920044,Yahoo Finance via yfinance
1990-01-04,FTSE100,^FTSE,2451.600098,Yahoo Finance via yfinance
1990-01-04,HANGSENG,^HSI,2868,Yahoo Finance via yfinance
1990-01-04,NASDAQ,^IXIC,459.3999939,Yahoo Finance via yfinance
1990-01-04,NIKKEI225,^N225,38712.87891,Yahoo Finance via yfinance
1990-01-04,SP500,^GSPC,355.6700134,Yahoo Finance via yfinance
1990-01-04,VIX,^VIX,19.21999931,Yahoo Finance via yfinance
1990-01-05,DAX,^GDAXI,1812.900024,Yahoo Finance via yfinance
1990-01-05,FTSE100,^FTSE,2444.5,Yahoo Finance via yfinance
1990-01-05,HANGSENG,^HSI,2839.899902,Yahoo Finance via yfinance
1990-01-05,NASDAQ,^IXIC,458.2000122,Yahoo Finance via yfinance
1990-01-05,NIKKEI225,^N225,38274.76172,Yahoo Finance via yfinance
1990-01-05,SP500,^GSPC,352.2000122,Yahoo Finance via yfinance
1990-01-05,VIX,^VIX,20.11000061,Yahoo Finance via yfinance
1990-01-08,DAX,^GDAXI,1841.469971,Yahoo Finance via yfinance
1990-01-08,FTSE100,^FTSE,2431.300049,Yahoo Finance via yfinance
1990-01-08,HANGSENG,^HSI,2816,Yahoo Finance via yfinance
1990-01-08,NASDAQ,^IXIC,458.7000122,Yahoo Finance via yfinance
1990-01-08,NIKKEI225,^N225,38294.96094,Yahoo Finance via yfinance
1990-01-08,SP500,^GSPC,353.7900085,Yahoo Finance via yfinance
1990-01-08,VIX,^VIX,20.26000023,Yahoo Finance via yfinance
1990-01-09,DAX,^GDAXI,1865.52002,Yahoo Finance via yfinance
1990-01-09,FTSE100,^FTSE,2436.300049,Yahoo Finance via yfinance
1990-01-09,HANGSENG,^HSI,2822,Yahoo Finance via yfinance
1990-01-09,NASDAQ,^IXIC,456.7999878,Yahoo Finance via yfinance
1990-01-09,NIKKEI225,^N225,37951.46094,Yahoo Finance via yfinance
1990-01-09,SP500,^GSPC,349.6199951,Yahoo Finance via yfinance
1990-01-09,VIX,^VIX,22.20000076,Yahoo Finance via yfinance
1990-01-10,DAX,^GDAXI,1843.050049,Yahoo Finance via yfinance
1990-01-10,FTSE100,^FTSE,2412.600098,Yahoo Finance via yfinance
1990-01-10,HANGSENG,^HSI,2868,Yahoo Finance via yfinance
1990-01-10,NASDAQ,^IXIC,450.7000122,Yahoo Finance via yfinance
1990-01-10,NIKKEI225,^N225,37696.51172,Yahoo Finance via yfinance
